"PostOfficeName","Pincode","DistrictsName","City","State"
"Gramby","685533","Iduki","Iduki","Kerala"
"Gudarale","685612","Iduki","Iduki","Kerala"
"Gurunathamannu","689667","Pathanamthitta","Pathanamthitta","Kerala"
"Guruvayur","680101","Thrissur","Thrissur","Kerala"
"Guruvayurappan College","673014","Kozhikode","Kozhikode","Kerala"
"H M T Colony","683503","Ernakulam","Ernakulam","Kerala"
"Hailey Buria","685501","Iduki","Iduki","Kerala"
"Hajiarpalli","676519","Malapuram","Malapuram","Kerala"
"Haripad","690514","Alappuzha","Alappuzha","Kerala"
"Haripuram","671531","Kasargode","Kasargode","Kerala"
"Haritharapuram","695310","Trivandrum","Trivandrum","Kerala"
"Heroor","671324","Kasargode","Kasaragod","Kerala"
"Hidayatanagar","671123","Kasargode","Kasargode","Kerala"
"Ichalampady","671321","Kasargode","Kasargode","Kerala"
"Ichilangode","671324","Kasargode","Kasargode","Kerala"
"Idakkadom","691505","Kollam","Kollam","Kerala"
"Idamalyar","686694","Ernakulam","Ernakulam","Kerala"
"Idamattom Edso","686588","Kottayam","Kottayam","Kerala"
"Idinjamala","685510","Iduki","Iduki","Kerala"
"Idinjar","695563","Trivandrum","Trivandrum","Kerala"
"Idiyanal","686576","Kottayam","Kottayam","Kerala"
"Idukki Colony","685602","Iduki","Iduki","Kerala"
"Idukki Painavu","685603","Iduki","Iduki","Kerala"
"Ilamba Edso","695103","Trivandrum","Trivandrum","Kerala"
"Ilambakapally","683544","Ernakulam","Ernakulam","Kerala"
"Ilanchiyam","695563","Trivandrum","Trivandrum","Kerala"
"Ilapilly","685589","Iduki","Iduki","Kerala"
"Illakollur Edso","689703","Pathanamthitta","Pathanamthitta","Kerala"
"Illamadu Edso","691539","Kollam","Kollam","Kerala"
"Illichira","688561","Alappuzha","Alappuzha","Kerala"
"Illippakulam","690503","Alappuzha","Alappuzha","Kerala"
"Inchakundu","680312","Thrissur","Thrissur","Kerala"
"Inchamudi","680312","Thrissur","Thrissur","Kerala"
"Inchathotty","686691","Ernakulam","Ernakulam","Kerala"
"Inchavila","691601","Kollam","Kollam","Kerala"
"Inchiyani","686512","Kottayam","Kottayam","Kerala"
"Indianur","676503","Malapuram","Malapuram","Kerala"
"Indira Nagar","673506","Kozhikode","Kozhikode","Kerala"
"Industrial Estate Tvm","695019","Trivandrum","Trivandrum","Kerala"
"Iramallur","688537","Alappuzha","Alappuzha","Kerala"
"Iramallur","686691","Ernakulam","Ernakulam","Kerala"
"Iranikulam","680734","Thrissur","Thrissur","Kerala"
"Irimbalasseri","679335","Thrissur","Thrissur","Kerala"
"Irimbiliyam","679572","Malapuram","#N/A","Kerala"
"Irimbuzhi Edso","676513","Malapuram","Malapuram","Kerala"
"Irinava","695561","Trivandrum","Trivandrum","Kerala"
"Irinchayam","695581","Trivandrum","Trivandrum","Kerala"
"Iringal","673521","Kozhikode","Kozhikode","Kerala"
"Iringallur Kottakkal","676304","Malapuram","Malapuram","Kerala"
"Iringannur Edso","673514","Kozhikode","Kozhikode","Kerala"
"Iringapuram","680103","Thrissur","Thrissur","Kerala"
"Iringath","673523","Kozhikode","Kozhikode","Kerala"
"Iringatteri","676523","Malapuram","Malapuram","Kerala"
"Iringavu","676103","Malapuram","Malapuram","Kerala"
"Iringole","683548","Ernakulam","Ernakulam","Kerala"
"Irinjalakuda","680121","Thrissur","Irinjalakuda","Kerala"
"Irinjalakuda North","680125","Thrissur","Thrissur","Kerala"
"Iritty","670703","Kannur","Cannanore (Kannur)","Kerala"
"Irivallur","673616","Kozhikode","Kozhikode","Kerala"
"Iriveri Edso","670614","Kannur","Cannanore (Kannur)","Kerala"
"Iriya","671531","Kasargode","Kasargode","Kerala"
"Iriyanni","671542","Kasargode","Kasargode","Kerala"
"Irmpanam","682309","Ernakulam","Ernakulam","Kerala"
"Iroopara","695584","Trivandrum","Thiruvananthapuram","Kerala"
"Irukkur","670593","Kannur","Cannanore (Kannur)","Kerala"
"Irumbakachola","678591","Thrissur","Thrissur","Kerala"
"Irumpanagad","691505","Kollam","Kollam","Kerala"
"Irumpayam","686605","Kottayam","Kottayam","Kerala"
"Irunilamcode","680583","Thrissur","Thrissur","Kerala"
"Iruvatty","673639","Malapuram","Malapuram","Kerala"
"Iswaramangalam","679573","Thrissur","Thrissur","Kerala"
"Ithithanam","686535","Kottayam","Kottayam","Kerala"
"Iverkala East","691507","Kollam","Kollam","Kerala"
"Iyethala Ranni","689673","Pathanamthitta","Pathanamthitta","Kerala"
"Iyyad Edso","673587","Kozhikode","Kozhikode","Kerala"
"Iyyangode","673504","Kozhikode","Kozhikode","Kerala"
"Jawahar Nagar","695041","Trivandrum","Trivandrum","Kerala"
"Jellipara","678582","Thrissur","Thrissur","Kerala"
"Josegiri","685565","Iduki","Iduki","Kerala"
"Josegiri Cherupuzha","670511","Kannur","Cannanore (Kannur)","Kerala"
"Kabanigiri","673579","Wayanad","Wayanad","Kerala"
"Kachani","695013","Trivandrum","Trivandrum","Kerala"
"Kachcheri","673502","Kozhikode","Kozhikode","Kerala"
"Kacherikkadavu","670706","Kannur","Cannanore (Kannur)","Kerala"
"Kacheriparambu","678601","Thrissur","Thrissur","Kerala"
"Kadachira","670621","Kannur","Kadachira","Kerala"
"Kadackanad","682311","Ernakulam","Ernakulam","Kerala"
"Kadakkal","691536","Kollam","#N/A","Kerala"
"Kadakkarapally","688529","Alappuzha","Alappuzha","Kerala"
"Kadakkavur","695306","Kollam","Kollam","Kerala"
"Kadakkode","691505","Kollam","Kollam","Kerala"
"Kadalikad","686670","Ernakulam","Ernakulam","Kerala"
"Kadalmat","673581","Kozhikode","Kozhikode","Kerala"
"Kadalundi","673302","Kozhikode","Kozhikode","Kerala"
"Kadalundi Nagaram","673314","Kozhikode","Kozhikode","Kerala"
"Kadamakudi","682027","Ernakulam","Ernakulam","Kerala"
"Kadamakuzhi","685515","Iduki","Iduki","Kerala"
"Kadamancode","691312","Kollam","Kollam","Kerala"
"Kadamankulam Edso","689603","Pathanamthitta","Pathanamthitta","Kerala"
"Kadamat","682552","Ernakulam","Ernakulam","Kerala"
"Kadamattam","682311","Ernakulam","Ernakulam","Kerala"
"Kadambanad","691552","Pathanamthitta","Pathanamthitta","Kerala"
"Kadambanad South","691553","Pathanamthitta","Pathanamthitta","Kerala"
"Kadambar","671323","Kasargode","Kasaragod","Kerala"
"Kadambode Edso","676121","Malapuram","Malapuram","Kerala"
"Kadambur Pgt","679515","Thrissur","Kadambur","Kerala"
"Kadambur Ward Ii","670663","Kannur","Kadambur","Kerala"
"Kadammanitta","689649","Pathanamthitta","Pathanamthitta","Kerala"
"Kadampuzha","676553","Malapuram","Malapuram","Kerala"
"Kadanad Meenachil","686653","Kottayam","Kottayam","Kerala"
"Kadancherri Edso","679582","Malapuram","Malapuram","Kerala"
"Kadannamanna","679324","Malapuram","Malapuram","Kerala"
"Kadannapally","670501","Kannur","Cannanore (Kannur)","Kerala"
"Kadapattoor","686574","Kottayam","Kottayam","Kerala"
"Kadaplamattom","686571","Kottayam","Kottayam","Kerala"
"Kadappakada","691008","Kollam","Kollam","Kerala"
"Kadappuram","680514","Thrissur","Thrissur","Kerala"
"Kadapra Kumbanad Edso","689547","Pathanamthitta","Pathanamthitta","Kerala"
"Kadapra Mannar Edso","689630","Alappuzha","Alappuzha","Kerala"
"Kadathur Ward","690523","Kollam","Kollam","Kerala"
"Kadavallur","680543","Thrissur","Thrissur","Kerala"
"Kadavanad","679586","Malapuram","Malapuram","Kerala"
"Kadavanthara","682020","Ernakulam","Ernakulam","Kerala"
"Kadavathur","670676","Kannur","Cannanore (Kannur)","Kerala"
"Kadavoor","686671","Ernakulam","Ernakulam","Kerala"
"Kadayanikad Edso","686550","Kottayam","Kottayam","Kerala"
"Kadayirippu","682311","Ernakulam","Ernakulam","Kerala"
"Kadiyangad","673525","Kozhikode","Kozhikode","Kerala"
"Kadukachira","686635","Kottayam","Kottayam","Kerala"
"Kadukkaakunnu","678005","Thrissur","Thrissur","Kerala"
"Kadukutty Edso","680315","Thrissur","Thrissur","Kerala"
"Kadumeni","670511","Kannur","Cannanore (Kannur)","Kerala"
"Kadungamangalam","682305","Ernakulam","Ernakulam","Kerala"
"Kaduppasserry Edso","680698","Thrissur","Thrissur","Kerala"
"Kaduppassery South","680683","Thrissur","Thrissur","Kerala"
"Kaduthuruthy","686604","Kottayam","#N/A","Kerala"
"Kaduvinal","690501","Alappuzha","Alappuzha","Kerala"
"Kaikkara","695307","Trivandrum","Trivandrum","Kerala"
"Kailasanadu","685553","Iduki","Iduki","Kerala"
"Kaimanam","695040","Trivandrum","Trivandrum","Kerala"
"Kainady","686534","Kottayam","Kottayam","Kerala"
"Kainakary","688501","Alappuzha","Alappuzha","Kerala"
"Kainakary East","688501","Alappuzha","Alappuzha","Kerala"
"Kainoor","686582","Kottayam","Thrissur","Kerala"
"Kaiparamba","680546","Thrissur","Thrissur","Kerala"
"Kaipattur","689648","Pathanamthitta","Pathanamthitta","Kerala"
"Kaippamangalam Beach","680681","Thrissur","Thrissur","Kerala"
"Kaippamanglam","680681","Thrissur","Thrissur","Kerala"
"Kaipuram","679308","Thrissur","Thrissur","Kerala"
"Kaipuzha","686602","Kottayam","#N/A","Kerala"
"Kaipuzha North","689503","Pathanamthitta","Pathanamthitta","Kerala"
"Kairadi","678510","Thrissur","Thrissur","Kerala"
"Kaithachira Mannarkad","678582","Thrissur","Thrissur","Kerala"
"Kaithakkad","671313","Kasargode","Kasargode","Kerala"
"Kaithakode","691543","Kollam","Kollam","Kerala"
"Kaithakody","689614","Pathanamthitta","Pathanamthitta","Kerala"
"Kaithaparambu","691526","Pathanamthitta","Pathanamthitta","Kerala"
"Kaithapram","670631","Kannur","Cannanore (Kannur)","Kerala"
"Kaitharam","683519","Ernakulam","Ernakulam","Kerala"
"Kaithode","691535","Kollam","Kollam","Kerala"
"Kakkad Piravom","686664","Ernakulam","Ernakulam","Kerala"
"Kakkad Puthupadi","673586","Kozhikode","Kozhikode","Kerala"
"Kakkakunnu","690522","Pathanamthitta","Pathanamthitta","Kerala"
"Kakkanad","682030","Ernakulam","Ernakulam","Kerala"
"Kakkanad West","682030","Ernakulam","Ernakulam","Kerala"
"Kakkancheri","673620","Kozhikode","Kozhikode","Kerala"
"Kakkara","670306","Kannur","Cannanore (Kannur)","Kerala"
"Kakkasseri","680511","Thrissur","Thrissur","Kerala"
"Kakkat","670005","Kannur","Cannanore (Kannur)","Kerala"
"Kakkatam Poil","673604","Kozhikode","Kozhikode","Kerala"
"Kakkattil","673507","Kannur","Cannanore (Kannur)","Kerala"
"Kakkavayal","673122","Wayanad","Wayanad","Kerala"
"Kakkavila B,O","695506","Trivandrum","Trivandrum","Kerala"
"Kakkayam","673615","Kozhikode","Kozhikode","Kerala"
"Kakkebettu Mulleria","671543","Kasargode","Kasargode","Kerala"
"Kakkode","691331","Kollam","Kollam","Kerala"
"Kakkoor","686662","Ernakulam","Ernakulam","Kerala"
"Kakkotti","673611","Kozhikode","Kozhikode","Kerala"
"Kakkudumon","689711","Pathanamthitta","Pathanamthitta","Kerala"
"Kakkur","673619","Kozhikode","Kozhikode","Kerala"
"Kakkyur","678512","Thrissur","Thrissur","Kerala"
"Kaladi","683574","Ernakulam","Ernakulam","Kerala"
"Kaladi Mpm","679586","Malapuram","Malapuram","Kerala"
"Kaladi Plantation","683583","Ernakulam","Ernakulam","Kerala"
"Kalaketty","686508","Kottayam","Kottayam","Kerala"
"Kalakode","691302","Kollam","Kollam","Kerala"
"Kalamachal","695606","Trivandrum","Trivandrum","Kerala"
"Kalamasseri","683104","Ernakulam","Ernakulam","Kerala"
"Kalamesseri Development","683109","Ernakulam","Ernakulam","Kerala"
"Kalampoor","686664","Ernakulam","Ernakulam","Kerala"
"Kalanad","671317","Kasargode","Kasargode","Kerala"
"Kalanadikolli","673579","Wayanad","Wayanad","Kerala"
"Kalanjoor","689694","Pathanamthitta","#N/A","Kerala"
"Kalanki","670705","Kannur","Cannanore (Kannur)","Kerala"
"Kalapatti","678702","Thrissur","Thrissur","Kerala"
"Kalathukadavu","686579","Kottayam","Kottayam","Kerala"
"Kalathur","686633","Kottayam","Kottayam","Kerala"
"Kalathuvayal","673593","Kozhikode","Kozhikode","Kerala"
"Kalavancodam Edso","688586","Alappuzha","Alappuzha","Kerala"
"Kalavoor","688522","Alappuzha","Alappuzha","Kerala"
"Kalayampadi,Kelakoam","670674","Kannur","Cannanore (Kannur)","Kerala"
"Kalayanthani","685588","Iduki","Iduki","Kerala"
"Kalayapuram","691506","Kollam","Kollam","Kerala"
"Kaliapally","671532","Kasargode","Kasargode","Kerala"
"Kalichanadukam","671314","Kasargode","Kasargode","Kerala"
"Kalikavu","676525","Malapuram","#N/A","Kerala"
"Kalimbram","680568","Thrissur","Thrissur","Kerala"
"Kaliya Rode","680586","Thrissur","Thrissur","Kerala"
"Kaliyar","685582","Trivandrum","Trivandrum","Kerala"
"Kalkandy","678582","Thrissur","Thrissur","Kerala"
"Kalkundu","676523","Malapuram","Malapuram","Kerala"
"Kallachi","673506","Kozhikode","Kozhikode","Kerala"
"Kallada Irrig. Project","691308","Kollam","Kollam","Kerala"
"Kalladathur,Kumranallur","679552","Thrissur","Thrissur","Kerala"
"Kalladikode","678596","Thrissur","Thrissur","Kerala"
"Kalladipetta","679313","Thrissur","Thrissur","Kerala"
"Kallai Kozhikode","673003","Kozhikode","Kozhikode","Kerala"
"Kallakatta","671123","Kasargode","Kasargode","Kerala"
"Kallamala","678582","Palakkad","Mannarkad","Kerala"
"Kallambalam","695605","Trivandrum","Trivandrum","Kerala"
"Kallanode","673615","Kozhikode","Kozhikode","Kerala"
"Kallar","685552","Iduki","#N/A","Kerala"
"Kallar Tvm","695551","Trivandrum","Trivandrum","Kerala"
"Kallara","695608","Trivandrum","#N/A","Kerala"
"Kallara Kottayam","686611","Kottayam","Kottayam","Kerala"
"Kallara South","686611","Kottayam","Kottayam","Kerala"
"Kallarkutty","685562","Iduki","Iduki","Kerala"
"Kallarmangalam","676510","Malapuram","Malapuram","Kerala"
"Kallayam","695005","Trivandrum","Trivandrum","Kerala"
"Kallekad","678015","Thrissur","Thrissur","Kerala"
"Kallekulangara","678009","Thrissur","Thrissur","Kerala"
"Kallelibhagom","690546","Kollam","Kollam","Kerala"
"Kallely","689691","Pathanamthitta","Pathanamthitta","Kerala"
"Kallely Thottam","689691","Pathanamthitta","Pathanamthitta","Kerala"
"Kallepadam","680587","Thrissur","Thrissur","Kerala"
"Kallepully Edso","678018","Thrissur","Thrissur","Kerala"
"Kallettumkara","680683","Thrissur","Thrissur","Kerala"
"Kalliad","670593","Kannur","Taliparamba","Kerala"
"Kalliasseri","670562","Kannur","Kalliasseri","Kerala"
"Kallickandy","670693","Kannur","Cannanore (Kannur)","Kerala"
"Kallimel","690570","Alappuzha","Alappuzha","Kerala"
"Kallipadam","679122","Thrissur","Thrissur","Kerala"
"Kallisseri","689124","Alappuzha","Alappuzha","Kerala"
"Kalliyal","695574","Trivandrum","Trivandrum","Kerala"
"Kalliyur","695042","Trivandrum","Trivandrum","Kerala"
"Kalllumthazham","691004","Trivandrum","Trivandrum","Kerala"
"Kalloopara","689583","Pathanamthitta","Pathanamthitta","Kerala"
"Kalloorkad","686668","Ernakulam","Ernakulam","Kerala"
"Kalloorkulam","686503","Kottayam","Kottayam","Kerala"
"Kallumala","690110","Alappuzha","Alappuzha","Kerala"
"Kallumkal","689102","Pathanamthitta","Pathanamthitta","Kerala"
"Kallunira","673517","Kozhikode","Kozhikode","Kerala"
"Kallur","679562","Thrissur","Thrissur","Kerala"
"Kallur","680317","Thrissur","Thrissur","Kerala"
"Kallur Opm","678641","Thrissur","Thrissur","Kerala"
"Kallurutty","673603","Wayanad","Wayanad","Kerala"
"Kalluvathukkal","691578","Kollam","Kollam","Kerala"
"Kalluvayal","670703","Kannur","Cannanore (Kannur)","Kerala"
"Kalluvazhi","679514","Thrissur","Thrissur","Kerala"
"Kaloor","682017","Ernakulam","Ernakulam","Kerala"
"Kaloor","686668","Ernakulam","Ernakulam","Kerala"
"Kaloor East","685584","Iduki","Iduki","Kerala"
"Kalpakancherri","676551","Malapuram","Malapuram","Kerala"
"Kalpathi","678003","Thrissur","Thrissur","Kerala"
"Kalpathur","673524","Kozhikode","Kozhikode","Kerala"
"Kalpeni","682557","Ernakulam","Ernakulam","Kerala"
"Kalpetta","673121","Wayanad","Kalpetta","Kerala"
"Kalpetta North","673122","Wayanad","Wayanad","Kerala"
"Kalthotty","685507","Iduki","Iduki","Kerala"
"Kalthuruthy","691309","Kollam","Kollam","Kerala"
"Kamakshy","685515","Iduki","Iduki","Kerala"
"Kambalakallu","679333","Malapuram","Malapuram","Kerala"
"Kambalakkad","673121","Wayanad","Wayanad","Kerala"
"Kamballore","670511","Kannur","Cannanore (Kannur)","Kerala"
"Kammana","670645","Wayanad","Wayanad","Kerala"
"Kampatti","670644","Kannur","Cannanore (Kannur)","Kerala"
"Kamukumcherry","689696","Pathanamthitta","Pathanamthitta","Kerala"
"Kanakamala","680689","Thrissur","Thrissur","Kerala"
"Kanakapalam","686509","Kottayam","Kottayam","Kerala"
"Kanakapally","671533","Kasargode","Kasargode","Kerala"
"Kanakari","686632","Kottayam","Kottayam","Kerala"
"Kanakkanthuruthy","678683","Thrissur","Thrissur","Kerala"
"Kanam","686515","Kottayam","Kottayam","Kerala"
"Kanamala","686510","Kottayam","Kottayam","Kerala"
"Kanamvayal","670511","Kannur","Cannanore (Kannur)","Kerala"
"Kanathur","671542","Kasargode","Kasargode","Kerala"
"Kanattukara","680011","Thrissur","Thrissur","Kerala"
"Kanayam Edso","679125","Thrissur","Thrissur","Kerala"
"Kanayankavayal","685532","Iduki","Iduki","Kerala"
"Kanayi","670306","Kannur","Cannanore (Kannur)","Kerala"
"Kanchinada","695609","Trivandrum","Trivandrum","Kerala"
"Kanchiyar","685511","Iduki","Iduki","Kerala"
"Kandakai","695512","Trivandrum","Trivandrum","Kerala"
"Kandallur","690535","Alappuzha","Alappuzha","Kerala"
"Kandamangalam","678583","Thrissur","Thrissur","Kerala"
"Kandanad","682305","Ernakulam","Ernakulam","Kerala"
"Kandanaseeri","680102","Thrissur","Thrissur","Kerala"
"Kandankali Edso","670333","Kannur","Cannanore (Kannur)","Kerala"
"Kandankulam","680669","Thrissur","Thrissur","Kerala"
"Kandasankadavu","680613","Thrissur","Thrissur","Kerala"
"Kandoth","670307","Kannur","Cannanore (Kannur)","Kerala"
"Kangazha","686541","Kottayam","#N/A","Kerala"
"Kanhangad","671315","Kasargode","Kanhangad","Kerala"
"Kanhangad South Edso","671315","Kasargode","Kasargode","Kerala"
"Kanhilari","670702","Kannur","Cannanore (Kannur)","Kerala"
"Kanhiradakam","671531","Kasargode","Kasargode","Kerala"
"Kanhirakode","680590","Thrissur","Thrissur","Kerala"
"Kanhirakolly","670633","Kannur","Cannanore (Kannur)","Kerala"
"Kanhiramukku","679584","Malapuram","Malapuram","Kerala"
"Kanhirangad","671531","Kasargode","Kasargode","Kerala"
"Kanhirapuzha","678591","Thrissur","Thrissur","Kerala"
"Kanhirapuzha Dam","678591","Thrissur","Thrissur","Kerala"
"Kanhirode","670592","Kannur","Kanhirode","Kerala"
"Kanichar","670674","Kannur","Thalassery","Kerala"
"Kanichukulangara Edso","688544","Alappuzha","Alappuzha","Kerala"
"Kanimangalam","680027","Thrissur","Thrissur","Kerala"
"Kaninad","682310","Ernakulam","Ernakulam","Kerala"
"Kanippayyur","680517","Thrissur","Thrissur","Kerala"
"Kaniyambetta Edso","673124","Wayanad","Wayanad","Kerala"
"Kaniyapuram","695301","Trivandrum","Trivandrum","Kerala"
"Kaniyarkode","680594","Thrissur","Thrissur","Kerala"
"Kanjampazhanji","695525","Trivandrum","Trivandrum","Kerala"
"Kanjanapara","685619","Iduki","Iduki","Kerala"
"Kanjany","680612","Thrissur","Thrissur","Kerala"
"Kanjar Edso","685592","Iduki","Iduki","Kerala"
"Kanjaveli","691602","Kollam","Kollam","Kerala"
"Kanjettukara Edso","689616","Pathanamthitta","Pathanamthitta","Kerala"
"Kanjikode","678621","Thrissur","Thrissur","Kerala"
"Kanjikode West","678623","Thrissur","Thrissur","Kerala"
"Kanjikuzhi Idukky","685602","Iduki","Iduki","Kerala"
"Kanjipadam","688005","Alappuzha","Alappuzha","Kerala"
"Kanjiracode","691503","Kollam","Kollam","Kerala"
"Kanjiram","686030","Kottayam","Kottayam","Kerala"
"Kanjiramatoom","682315","Ernakulam","Ernakulam","Kerala"
"Kanjiramattom Kottaym","686585","Kottayam","Kottayam","Kerala"
"Kanjiramkulam","695524","Trivandrum","Trivandrum","Kerala"
"Kanjirampara","695030","Trivandrum","Trivandrum","Kerala"
"Kanjirapally","686507","Kottayam","Kottayam","Kerala"
"Kanjirapara","686555","Kottayam","Kottayam","Kerala"
"Kanjirapilly Trichur","680721","Thrissur","Thrissur","Kerala"
"Kanjirathanam","686603","Kottayam","Kottayam","Kerala"
"Kanjoor","683575","Ernakulam","Ernakulam","Kerala"
"Kankol Edso","670337","Kannur","Cannanore (Kannur)","Kerala"
"Kanmanam Edso","679556","Thrissur","Thrissur","Kerala"
"Kanmanam Thekkumuri","676551","Malapuram","Malapuram","Kerala"
"Kannadi","678701","Thrissur","Thrissur","Kerala"
"Kannadi Edso","688507","Alappuzha","Alappuzha","Kerala"
"Kannadi West","688504","Alappuzha","Alappuzha","Kerala"
"Kannadiparamba","670604","Kannur","Kannadiparamba","Kerala"
"Kannadipoyil","673612","Kozhikode","Kozhikode","Kerala"
"Kannamali","682008","Ernakulam","Ernakulam","Kerala"
"Kannamangalam Edso","676318","Malapuram","Malapuram","Kerala"
"Kannamangalam Mavelikara","690106","Alappuzha","Alappuzha","Kerala"
"Kannamangalam West","676305","Malapuram","Malapuram","Kerala"
"Kannambra","678686","Thrissur","Thrissur","Kerala"
"Kannampullipuram","680687","Thrissur","Thrissur","Kerala"
"Kannamvettikavu","673637","Malapuram","Malapuram","Kerala"
"Kannanakuzhi","690505","Alappuzha","Alappuzha","Kerala"
"Kannanallur","691576","Kollam","Kollam","Kerala"
"Kannankara","688527","Alappuzha","Alappuzha","Kerala"
"Kannankara Chelannur","673616","Kozhikode","Kozhikode","Kerala"
"Kannanur","678702","Thrissur","Thrissur","Kerala"
"Kannara","680652","Thrissur","Thrissur","Kerala"
"Kannattipadi","676304","Malapuram","Malapuram","Kerala"
"Kannavam Colony","670650","Kannur","Cannanore (Kannur)","Kerala"
"Kannickal","685589","Iduki","Iduki","Kerala"
"Kannikulangara","680682","Thrissur","Thrissur","Kerala"
"Kannimala","686509","Kottayam","Kottayam","Kerala"
"Kannimari","670592","Kannur","Cannanore (Kannur)","Kerala"
"Kannivayal","670511","Kannur","Cannanore (Kannur)","Kerala"
"Kanniyampuram","679104","Thrissur","Thrissur","Kerala"
"Kannookara","673102","Kozhikode","Kozhikode","Kerala"
"Kannookara Kannur","670012","Kannur","Cannanore (Kannur)","Kerala"
"Kannoth","670650","Kannur","Cannanore (Kannur)","Kerala"
"Kannoth Kotancherri","673580","Kozhikode","Kozhikode","Kerala"
"Kannoth Venkitangu","680510","Thrissur","Thrissur","Kerala"
"Kannur","670001","Kannur","Kannur","Kerala"
"Kannur","671321","Kasargode","Kannur","Kerala"
"Kannur City","670003","Kannur","Cannanore (Kannur)","Kerala"
"Kannur Civil Station","670002","Kannur","Cannanore (Kannur)","Kerala"
"Kannur Dist.Hospital","670017","Kannur","Cannanore (Kannur)","Kerala"
"Kannur Thana","670012","Kannur","Cannanore (Kannur)","Kerala"
"Kanthallur","685620","Iduki","Iduki","Kerala"
"Kanul Edso","670564","Kannur","Cannanore (Kannur)","Kerala"
"Kappad","673304","Kozhikode","Kozhikode","Kerala"
"Kappad Chovva","670006","Kannur","Cannanore (Kannur)","Kerala"
"Kappadu","686508","Kottayam","Kottayam","Kerala"
"Kappathumala","670644","Kannur","Cannanore (Kannur)","Kerala"
"Kappil","679328","Malapuram","Malapuram","Kerala"
"Kappil East","690533","Alappuzha","Alappuzha","Kerala"
"Kappil Edava","695311","Trivandrum","Trivandrum","Kerala"
"Kappumthala","686613","Kottayam","Kottayam","Kerala"
"Kappur","679552","Thrissur","Thrissur","Kerala"
"Kara","680671","Thrissur","Thrissur","Kerala"
"Kara Peravoor","670702","Kannur","Cannanore (Kannur)","Kerala"
"Karacode","679333","Malapuram","Malapuram","Kerala"
"Karad","679339","Malapuram","Malapuram","Kerala"
"Karadaka","671542","Kasargode","Kasargode","Kerala"
"Karadikuzhi","685531","Iduki","Iduki","Kerala"
"Karadipara Ambalavayal","673593","Kozhikode","Kozhikode","Kerala"
"Karadparamba","673632","Kozhikode","Kozhikode","Kerala"
"Karakkad","689504","Alappuzha","Alappuzha","Kerala"
"Karakkal Edso","689108","Pathanamthitta","Pathanamthitta","Kerala"
"Karakkamala","670645","Wayanad","Wayanad","Kerala"
"Karakonam","695504","Trivandrum","Trivandrum","Kerala"
"Karakulam","695564","Trivandrum","#N/A","Kerala"
"Karakunnu","676123","Malapuram","Ernad","Kerala"
"Karakurissi","678595","Thrissur","Thrissur","Kerala"
"Karalam","680711","Thrissur","Thrissur","Kerala"
"Karali Jn.Edso","690543","Kollam","Kollam","Kerala"
"Karalmanna","679506","Thrissur","Thrissur","Kerala"
"Karamala","686662","Ernakulam","Ernakulam","Kerala"
"Karamana","695002","Trivandrum","Trivandrum","Kerala"
"Karambathur","679305","Thrissur","Thrissur","Kerala"
"Karamcode","691579","Kollam","Kollam","Kerala"
"Karamvely","689643","Pathanamthitta","Pathanamthitta","Kerala"
"Karanchira","680702","Thrissur","Thrissur","Kerala"
"Karandode","673508","Kozhikode","Kozhikode","Kerala"
"Karani","673591","Kozhikode","Kozhikode","Kerala"
"Karanthat","670308","Kannur","Cannanore (Kannur)","Kerala"
"Karanthur","673571","Kozhikode","Kozhikode","Kerala"
"Karaparamba","673010","Kozhikode","Kozhikode","Kerala"
"Karapuram","679331","Malapuram","Malapuram","Kerala"
"Karara","678581","Thrissur","Thrissur","Kerala"
"Karasseri","673602","Kozhikode","Kozhikode","Kerala"
"Karattukurissi","679503","Thrissur","Thrissur","Kerala"
"Karavaloor Edso","691314","Kollam","Kollam","Kerala"
"Karavaram","695605","Trivandrum","Chirayinkeezhu","Kerala"
"Karavoor","689696","Pathanamthitta","Pathanamthitta","Kerala"
"Karayad","673524","Kozhikode","Kozhikode","Kerala"
"Karayamvattom","680567","Thrissur","Thrissur","Kerala"
"Kareelakulangara","690572","Alappuzha","Alappuzha","Kerala"
"Karekad","676553","Malapuram","Malapuram","Kerala"
"Karikad","688527","Alappuzha","Alappuzha","Kerala"
"Karikayam","689663","Pathanamthitta","Pathanamthitta","Kerala"
"Karikitamkunnu Edso","678605","Thrissur","Thrissur","Kerala"
"Karikkad","680519","Thrissur","Thrissur","Kerala"
"Karikkattur","686544","Kottayam","Kottayam","Kerala"
"Karikkattur Centre","686544","Kottayam","Kottayam","Kerala"
"Karikode","686610","Kottayam","Kottayam","Kerala"
"Karikom","691531","Kollam","Kollam","Kerala"
"Karikulam Edso","689682","Pathanamthitta","Pathanamthitta","Kerala"
"Karikuzhi Vellarada","695505","Trivandrum","Trivandrum","Kerala"
"Karikuzhy","689571","Alappuzha","Alappuzha","Kerala"
"Karimanal","695583","Trivandrum","Trivandrum","Kerala"
"Karimancode","695562","Trivandrum","Trivandrum","Kerala"
"Karimannur","685581","Iduki","Iduki","Kerala"
"Karimba","678597","Thrissur","Thrissur","Kerala"
"Karimbam","670142","Kannur","Cannanore (Kannur)","Kerala"
"Karimkulam Chapath","685506","Iduki","Iduki","Kerala"
"Karimkunnam","685586","Iduki","Iduki","Kerala"
