"RegNo","Place","State"
"HP07","Shimla","Himachal Pradesh"
"HP08","Chaupal","Himachal Pradesh"
"HP09","Theog","Himachal Pradesh"
"HP10","Rohru","Himachal Pradesh"
"HP11","Arki","Himachal Pradesh"
"HP12","Nalagarh","Himachal Pradesh"
"HP13","Kandaghat","Himachal Pradesh"
"HP14","Solan","Himachal Pradesh"
"HP15","Parwanoo","Himachal Pradesh"
"HP16","Rajgarh","Himachal Pradesh"
"HP17","Paonta Sahib","Himachal Pradesh"
"HP18","Nahan","Himachal Pradesh"
"HP19","Amb","Himachal Pradesh"
"HP20","Una","Himachal Pradesh"
"HP21","Barsar","Himachal Pradesh"
"HP22","Hamirpur","Himachal Pradesh"
"HP23","Ghumarwin","Himachal Pradesh"
"HP24","Bilaspur","Himachal Pradesh"
"HP25","Kalpa","Himachal Pradesh"
"HP26","Nichar (Bhaba Nagar)","Himachal Pradesh"
"HP27","Pooh","Himachal Pradesh"
"HP28","Sarkaghat","Himachal Pradesh"
"HP29","Jogindernagar","Himachal Pradesh"
"HP30","Karsog","Himachal Pradesh"
"HP31","Sundernagar","Himachal Pradesh"
"HP32","Mandi","Himachal Pradesh"
"HP33","Mandi","Himachal Pradesh"
"HP34","Kullu","Himachal Pradesh"
"HP35","Anni","Himachal Pradesh"
"HP36","Dehra","Himachal Pradesh"
"HP37","Palampur","Himachal Pradesh"
"HP38","Nurpur","Himachal Pradesh"
"HP39","Dharamshala","Himachal Pradesh"
"HP40","Kangra","Himachal Pradesh"
"HP41","Kaza","Himachal Pradesh"
"HP42","Keylong","Himachal Pradesh"
"HP43","Udaipur","Himachal Pradesh"
"HP44","Churah","Himachal Pradesh"
"HP45","Pangi","Himachal Pradesh"
"HP46","Bharmour","Himachal Pradesh"
"HP47","Dalhousie","Himachal Pradesh"
"HP48","Chamba","Himachal Pradesh"
"HP49","Banjar","Himachal Pradesh"
"HP50","Shimla (autorikshaws)","Himachal Pradesh"
"HP51 & HP52","Shimla (rural)","Himachal Pradesh"
"HP53","Baijnath","Himachal Pradesh"
"HP54","Jawali","Himachal Pradesh"
"HP55","Nadaun / Hamirpur","Himachal Pradesh"
"HP56","Jaisinghpur","Himachal Pradesh"
"HP57","Chowari","Himachal Pradesh"
"HP58","Manali","Himachal Pradesh"
"HP62","DodraKwar","Himachal Pradesh"
"HP63","Shimla","Himachal Pradesh"
"HP64","Solan","Himachal Pradesh"
"HP65","Mandi","Himachal Pradesh"
"HP66","Kullu","Himachal Pradesh"
"HP67","Hamirpur","Himachal Pradesh"
"HP68","Kangra","Himachal Pradesh"
"HP69","Bilaspur","Himachal Pradesh"
"HP71","Nahan","Himachal Pradesh"
"HP72","Una","Himachal Pradesh"
"HP73","Chamba","Himachal Pradesh"
"HP74","Bhoranj","Himachal Pradesh"
"HP76","Paddhar","Himachal Pradesh"
"HR01","Ambala (HR 01 GA for trucks; HR 01 PA, PB, PC so on for tourist buses; see also HR37)","Haryana"
"HR02","Yamuna Nagar","Haryana"
"HR03","Panchkula","Haryana"
"HR04","Naraingarh","Haryana"
"HR05","Karnal","Haryana"
"HR06","Panipat","Haryana"
"HR07","Kuru","Haryana"
"HR08","Kaithal","Haryana"
"HR09","Guhla","Haryana"
"HR10","Sonepat","Haryana"
"HR11","Gohana","Haryana"
"HR12","Rohtak","Haryana"
"HR13","Bahadurgarh","Haryana"
"HR14","Jhajjar","Haryana"
"HR15","Meham","Haryana"
"HR16","Bhiwani","Haryana"
"HR17","Siwani","Haryana"
"HR18","Loharu","Haryana"
"HR19","Charkhi Dadri","Haryana"
"HR20","Hisar","Haryana"
"HR21","Hansi","Haryana"
"HR22","Fatehabad","Haryana"
"HR23","Tohana","Haryana"
"HR24","Sirsa","Haryana"
"HR25","Dabwali","Haryana"
"HR26","Gurgaon","Haryana"
"HR27","Nuh","Haryana"
"HR28","Ferozepur Jhirka","Haryana"
"HR29","Ballabgarh","Haryana"
"HR30","Palwal","Haryana"
"HR31","Jind","Haryana"
"HR32","Narwana","Haryana"
"HR33","Safidon","Haryana"
"HR34","Mohindergarh","Haryana"
"HR35","Narnaul","Haryana"
"HR36","Rewari","Haryana"
"HR37","Ambala (commercial vehicles only)","Haryana"
"HR38","Faridabad (commercial vehicles only)","Haryana"
"HR39","Hisar (commercial vehicles only)","Haryana"
"HR40","Assandh","Haryana"
"HR41","Pehowa","Haryana"
"HR42","Ganaur","Haryana"
"HR43","Kosli","Haryana"
"HR44","Ellenabad","Haryana"
"HR45","Karnal (commercial vehicles only)","Haryana"
"HR46","Rohtak (commercial vehicles only)","Haryana"
"HR47","Rewari (commercial vehicles only)","Haryana"
"HR48","Tosham","Haryana"
"HR49","Kalka","Haryana"
"HR50","Hodal","Haryana"
"HR51","Faridabad","Haryana"
"HR52","Hatin","Haryana"
"HR53","Adampur","Haryana"
"HR54","Ambala  Barara","Haryana"
"HR55","Gurgaon (commercial vehicles only)","Haryana"
"HR56","Jind (commercial vehicles only)","Haryana"
"HR57","Sirsa (commercial vehicles only)","Haryana"
"HR58","Jagadhari, Yamuna Nagar (commercial vehicles only)","Haryana"
"HR59","Ratia","Haryana"
"HR60","Samalkha","Haryana"
"HR61","Bhiwani (commercial vehicles only)","Haryana"
"HR62","Fatehabad (commercial vehicles only)","Haryana"
"HR63","Jhajjar (commercial vehicles only)","Haryana"
"HR64","Kaithal (commercial vehicles only)","Haryana"
"HR65","Kurukshetra (commercial vehicles only)","Haryana"
"HR66","Narnaul (commercial vehicles only)","Haryana"
"HR67","Panipat (commercial vehicles only)","Haryana"
"HR68","Panchkula (commercial vehicles only)","Haryana"
"HR69","Sonipat (commercial vehicles only)","Haryana"
"HR70","This series belongs to the Transport Commissioner in Chandigarh","Haryana"
"HR71","Bilaspur","Haryana"
"HR72","Gurgaon (South)","Haryana"
"HR73","Palwal","Haryana"
"HR74","Mewat (Nuh)","Haryana"
"HR75","Indri","Haryana"
"HR76","Pataudi","Haryana"
"HR77","Beri","Haryana"
"HR78","Sahabad","Haryana"
"HR79","Kharkhoda","Haryana"
"HR80","Barwala","Haryana"
"HR86","Sonipat","Haryana"
"HR88","Kundli","Haryana"
"HR99","(temporary numbers)","Haryana"
"JH01","Ranchi","Jharkhand"
"JH02","Hazaribagh / Ramgarh","Jharkhand"
"JH03","Daltonganj","Jharkhand"
"JH04","Dumka","Jharkhand"
"JH05","Jamshedpur","Jharkhand"
"JH06","Chaibasa","Jharkhand"
"JH07","Gumla","Jharkhand"
"JH08","Lohardaga","Jharkhand"
"JH09","Bokaro Steel City","Jharkhand"
"JH10","Dhanbad","Jharkhand"
"JH11","Giridih","Jharkhand"
"JH12","Koderma","Jharkhand"
"JH13","Chatra","Jharkhand"
"JH14","Garhwa","Jharkhand"
"JH15","Deoghar","Jharkhand"
"JH16","Pakur","Jharkhand"
"JH17","Godda","Jharkhand"
"JH18","Sahibganj","Jharkhand"
"JH19","Latehar","Jharkhand"
"JH20","Simdega","Jharkhand"
"JH21","Jamtara","Jharkhand"
"JH22","SaraikelaKharsawan","Jharkhand"
"JK01","Srinagar","Jammu & Kashmir"
"JK02","Jammu","Jammu & Kashmir"
"JK03","Anantnag","Jammu & Kashmir"
"JK04","Budgam","Jammu & Kashmir"
"JK05","Baramulla","Jammu & Kashmir"
"JK06","Doda","Jammu & Kashmir"
"JK07","Kargil","Jammu & Kashmir"
"JK08","Kathua","Jammu & Kashmir"
"JK09","Kupwara","Jammu & Kashmir"
"JK10","Leh","Jammu & Kashmir"
"JK11","Rajouri","Jammu & Kashmir"
"JK12","Poonch","Jammu & Kashmir"
"JK13","Pulwama","Jammu & Kashmir"
"JK14","Udhampur","Jammu & Kashmir"
"JK15","Bandipora","Jammu & Kashmir"
"JK16","Ganderbal","Jammu & Kashmir"
"JK17","Kishtwar","Jammu & Kashmir"
"JK18","Kulgam","Jammu & Kashmir"
"JK19","Ramban","Jammu & Kashmir"
"JK20","Reasi","Jammu & Kashmir"
"JK21","Samba","Jammu & Kashmir"
"JK22","Shopian","Jammu & Kashmir"
"KA01","Bangalore Central (Koramangala)","Karnataka"
"KA02","Bangalore West (Rajajinagar)","Karnataka"
"KA03","Bangalore East (Indiranagar)","Karnataka"
"KA04","Bangalore North (Yeshwanthpur)","Karnataka"
"KA05","Bangalore South (Jayanagar)]]","Karnataka"
"KA06","Tumkur","Karnataka"
"KA07","Kolar","Karnataka"
"KA08","Kolar Gold Fields (KGF)","Karnataka"
"KA09","Mysore West","Karnataka"
"KA10","Chamrajnagar","Karnataka"
"KA11","Mandya","Karnataka"
"KA12","Madikeri","Karnataka"
"KA13","Hassan","Karnataka"
"KA14","Shimoga","Karnataka"
"KA15","Sagara","Karnataka"
"KA16","Chitradurga","Karnataka"
"KA17","Davangere","Karnataka"
"KA18","Chickmagalur","Karnataka"
"KA19","Mangalore","Karnataka"
"KA20","Udupi","Karnataka"
"KA21","Puttur / Sullia","Karnataka"
"KA22","Belgaum","Karnataka"
"KA23","Chikkodi","Karnataka"
"KA24","Bailhongal","Karnataka"
"KA25","Dharwad","Karnataka"
"KA26","Gadag","Karnataka"
"KA27","Haveri","Karnataka"
"KA28","Bijapur","Karnataka"
"KA29","Bagalkot","Karnataka"
"KA30","Karwar","Karnataka"
"KA31","Sirsi","Karnataka"
"KA32","Gulbarga","Karnataka"
"KA33","Yadgir","Karnataka"
"KA34","Bellary","Karnataka"
"KA35","Hospet","Karnataka"
"KA36","Raichur","Karnataka"
"KA37","Koppal","Karnataka"
"KA38","Bidar","Karnataka"
"KA39","Bhalki","Karnataka"
"KA40","Chikkaballapur","Karnataka"
"KA41","Rajarajeshwari Nagar, Bangalore Urban district","Karnataka"
"KA42","Ramanagara","Karnataka"
"KA43","Devanahalli, Bangalore Rural district","Karnataka"
"KA44","Tiptur","Karnataka"
"KA45","Hunsur","Karnataka"
"KA46","Sakleshpur","Karnataka"
"KA47","Honnavar","Karnataka"
"KA48","Jamkhandi","Karnataka"
"KA49","Gokak","Karnataka"
"KA50","Yelahanka, Bangalore Urban district","Karnataka"
"KA51","Electronics City, Bangalore Urban district","Karnataka"
"KA52","Nelamangala, Bangalore Urban district","Karnataka"
"KA53","K.R. Puram, Bangalore Urban district","Karnataka"
"KA54","Nagamangala","Karnataka"
"KA55","Mysore East","Karnataka"
"KA56","Basavakalyan","Karnataka"
"KA57","Shantinagar, Bangalore Urban district (only for KSRTC, BMTC and autos[1])","Karnataka"
"KL01","Thiruvananthapuram City","Kerala"
"KL02","Kollam","Kerala"
"KL03","Pathanamthitta","Kerala"
"KL04","Alappuzha","Kerala"
"KL05","Kottayam","Kerala"
"KL06","Idukki","Kerala"
"KL07","Eranakulam","Kerala"
"KL08","Thrissur","Kerala"
"KL09","Palakkad","Kerala"
"KL10","Malappuram","Kerala"
"KL11","Kozhikode","Kerala"
"KL12","Wayanad","Kerala"
"KL13","Kannur","Kerala"
"KL14","Kasargode","Kerala"
"KL15","Thiruvananthapuram (Kerala State Road Transport Corporation buses)","Kerala"
"KL16","ThiruvananthapuramAttingal","Kerala"
"KL17","Muvattupuzha","Kerala"
"KL18","Vadakara","Kerala"
"KL19","ThiruvananthapuramParassala","Kerala"
"KL20","ThiruvananthapuramNeyyattinkara","Kerala"
"KL21","ThiruvananthapuramNedumangad","Kerala"
"KL22","Kazhakkoottam","Kerala"
"KL23","Karunagapally","Kerala"
"KL24","Kottarakara","Kerala"
"KL25","Punalur","Kerala"
"KL26","Adoor","Kerala"
"KL27","Thiruvalla","Kerala"
"KL28","Mallappally","Kerala"
"KL29","Kayamkulam","Kerala"
"KL30","Chengannur","Kerala"
"KL31","Mavelikara","Kerala"
"KL32","Cherthala","Kerala"
"KL33","Changanassery","Kerala"
"KL34","Kanjirappally","Kerala"
"KL35","Pala","Kerala"
"KL36","Vaikom","Kerala"
"KL37","Vandiperiyar","Kerala"
"KL38","Thodupuzha","Kerala"
"KL39","Thripunithura","Kerala"
"KL40","Perumbavoor","Kerala"
"KL41","Aluva","Kerala"
"KL42","North Paravur","Kerala"
"KL43","Mattancherry","Kerala"
"KL44","kothamangalam","Kerala"
"KL45","Irinjalakuda","Kerala"
"KL46","Guruvayur","Kerala"
"KL47","Kodungallur","Kerala"
"KL48","Wadakkancherry","Kerala"
"KL49","Alathur","Kerala"
"KL50","Mannarghat","Kerala"
"KL51","Ottappalam","Kerala"
"KL52","Pattambi","Kerala"
"KL53","Perinthalmanna","Kerala"
"KL54","Ponnani","Kerala"
"KL55","Tirur","Kerala"
"KL56","Koyilandi","Kerala"
"KL57","Koduvally","Kerala"
"KL58","Thalassery","Kerala"
"KL59","Thaliparamba","Kerala"
"KL60","Kanhangad","Kerala"
"KL61","Kunnathur","Kerala"
"KL62","Ranni","Kerala"
"KL63","Angamaly","Kerala"
"KL64","Chalakkudy","Kerala"
"KL65","Thirurangadi","Kerala"
"LD01","Kavaratti","Lakshadweep"
"MH01","Mumbai (Central)  RTO is located in Tardeo","Maharashtra"
"MH02","Mumbai (West)  RTO is located in Andheri West","Maharashtra"
"MH03","Mumbai (East)  RTO is located in Wadala","Maharashtra"
"MH04","Thane","Maharashtra"
"MH05","Thane (Central Suburbs): Kalyan, Dombivli, Ulhasnagar, Ambernath and Badlapur  RTO is located in Kalyan","Maharashtra"
"MH06","Raigad  RTO is located in Pen (does not include Navi Mumbai, Kharghar to Panvel to Pen)","Maharashtra"
"MH07","Sindhudurg","Maharashtra"
"MH08","Ratnagiri","Maharashtra"
"MH09","Kolhapur","Maharashtra"
"MH10","Sangli","Maharashtra"
"MH11","Satara","Maharashtra"
"MH12","Pune","Maharashtra"
"MH13","Solapur","Maharashtra"
"MH14","Pune (Outskirts)  RTO is located in PimpriChinchwad","Maharashtra"
"MH15","Nashik","Maharashtra"
"MH16","Ahmednagar","Maharashtra"
"MH17","Shrirampur","Maharashtra"
"MH18","Dhule","Maharashtra"
"MH19","Jalgaon","Maharashtra"
"MH20","Aurangabad","Maharashtra"
"MH21","Jalna","Maharashtra"
"MH22","Parbhani","Maharashtra"
"MH23","Beed","Maharashtra"
"MH24","Latur","Maharashtra"
"MH25","Osmanabad","Maharashtra"
"MH26","Nanded","Maharashtra"
"MH27","Amravati","Maharashtra"
"MH28","Buldana","Maharashtra"
"MH29","Yavatmal  RTO is located on Nagpur Road","Maharashtra"
"MH30","Akola","Maharashtra"
"MH31","Nagpur","Maharashtra"
"MH32","Wardha","Maharashtra"
"MH33","Gadchiroli","Maharashtra"
"MH34","Chandrapur","Maharashtra"
"MH35","Gondia","Maharashtra"
"MH36","Bhandara","Maharashtra"
"MH37","Washim","Maharashtra"
"MH38","Hingoli","Maharashtra"
"MH39","Nandurbar","Maharashtra"
"MH40","Wadi, Nagpur (rural)","Maharashtra"
"MH41","Malegaon","Maharashtra"
"MH42","Baramati","Maharashtra"
"MH43","Navi Mumbai  RTO is located in Vashi (Sanpada)","Maharashtra"
"MH44","Ambejogai","Maharashtra"
"MH45","Akluj","Maharashtra"
"MH46","Panvel","Maharashtra"
"MH47","Borivali, Mumbai (Western Suburbs from Goregaon to Dahisar)[2]","Maharashtra"
"MH48","Vasai Thane (Western Suburbs from Vasai)  RTO is located in Virar","Maharashtra"
"MH49","Nagpur (East)  RTO is located on Bhandara Road","Maharashtra"
"MH50","Karad (Satara Rural)  RTO is located in Karad","Maharashtra"
"ML01","Shillong (government vehicles)","Meghalaya"
"ML02","Shillong (police vehicles)","Meghalaya"
"ML03","Shillong (vehicles owned by transport corporations)","Meghalaya"
"ML04","Jaintia Hills","Meghalaya"
"ML05","East Khasi Hills","Meghalaya"
"ML06","West Khasi Hills","Meghalaya"
"ML07","East Garo Hills","Meghalaya"
"ML08","West Garo Hills","Meghalaya"
"ML09","South Garo Hills","Meghalaya"
"ML10","RiBhoi","Meghalaya"
"MN01","Imphal","Manipur"
"MN02","Churachandpur","Manipur"
"MN03","Kangpokpi","Manipur"
"MN04","Thoubal","Manipur"
"MP01","State Governor's Vehicle","Madhya Pradesh"
"MP02","M.P. Government Vehicle","Madhya Pradesh"
"MP03","M.P. Police Vehicle","Madhya Pradesh"
"MP04","Bhopal","Madhya Pradesh"
"MP05","Hoshangabad","Madhya Pradesh"
"MP06","Morena","Madhya Pradesh"
"MP07","Gwalior","Madhya Pradesh"
"MP08","Guna","Madhya Pradesh"
"MP09","Indore","Madhya Pradesh"
"MP10","Khargone","Madhya Pradesh"
"MP11","Dhar","Madhya Pradesh"
"MP12","Khandwa","Madhya Pradesh"
"MP13","Ujjain","Madhya Pradesh"
"MP14","Mandsaur","Madhya Pradesh"
"MP15","Sagar","Madhya Pradesh"
"MP16","Chhatarpur","Madhya Pradesh"
"MP17","Rewa","Madhya Pradesh"
"MP18","Shahdol","Madhya Pradesh"
"MP19","Satna","Madhya Pradesh"
"MP20","Jabalpur","Madhya Pradesh"
"MP21","Katni","Madhya Pradesh"
"MP22","Seoni","Madhya Pradesh"
"MP23","Raipur (not in use)","Madhya Pradesh"
"MP24","Durg (not in use)","Madhya Pradesh"
"MP25","Jagdalpur (not in use)","Madhya Pradesh"
"MP26","Bilaspur (not in use)","Madhya Pradesh"
"MP27","Ambikapur (not in use)","Madhya Pradesh"
"MP28","Chhindwara","Madhya Pradesh"
"MP29","Rajnandgaon (not in use)","Madhya Pradesh"
"MP30","Bhind","Madhya Pradesh"
"MP31","Sheopur","Madhya Pradesh"
"MP32","Datia","Madhya Pradesh"
"MP33","Shivpuri","Madhya Pradesh"
"MP34","Damoh","Madhya Pradesh"
"MP35","Panna","Madhya Pradesh"
"MP36","Tikamgarh","Madhya Pradesh"
"MP37","Sehore","Madhya Pradesh"
